Deleted Feature,Description
p02_6,근로일수(개월)(p1702_6)
p02_7,근로일수(일)(p1702_7)
p02_8,규칙적으로 일한 경우 주당 평균 근로시간(p1702_8)
p02_8aq1,일한달의 월 평균 임금(p1702_8aq1)
p02_9,불규칙적으로 일한 경우 하루 평균 근로시간(p1702_9)
p02_8aq2,일한날의 시간당 임금(p1702_8aq2)
p02_4aq1,노동조합 가입 여부(p1702_4aq1)
p02_10,구직여부(p1702_10)
p02_11,총 구직 기간(년)(p1702_11)
p02_12,구직 기간(개월)(p1702_12)
p02_8aq3,구직과정 중 어려움(1순위)(p1702_8aq3)
p02_8aq4,구직과정 중 어려움(2순위)(p1702_8aq4)
p02_31,기대 수입(p1702_31)
p02_4aq2,지난1년간 구직활동 경험여부(p1702_4aq2)
p02_4aq3,지난주에 알맞은 일거리나 직장이 있었다면 일할 수 있는지 여부(p1702_4aq3)
p02_4aq4,지난4주간 구직활동을 하지않은이유(p1702_4aq4)
p02_8aq5,공공근로-경험여부(p1702_8aq5)
p02_8aq6,노인일자리-경험여부(p1702_8aq6)
p02_8aq7,자활공동체 및 자활근로-경험여부(p1702_8aq7)
p02_8aq8,사회적 일자리(사회적 기업)-경험여부(p1702_8aq8)
p02_8aq9,직장체험연수 관련 프로그램-경험여부(p1702_8aq9)
p02_8aq10,미취업자 직업훈련 관련 프로그램-경험여부(p1702_8aq10)
p02_8aq11,창업지원 관련 프로그램-경험여부(p1702_8aq11)
p02_8aq12,지역공동체 일자리사업(희망근로)-경험여부(p1702_8aq12)
p02_8aq13,청년 인턴제도 관려 프로그램-경험여부(p1702_8aq13)
p02_8aq14,취업자 능력 개발 훈련 관련 프로그램-경험여부(p1702_8aq14)
p02_12aq1,국민취업지원제도(구 취업성공패키지 통폐합)-경험여부(p1702_12aq1)
p02_8aq15,기타-경험여부(p1702_8aq15)
p02_aq3,새로운 기술 습득(2순위)(p1702_aq3)
p02_aq4,습득한 직업기술의 해당직종(1순위)(p1702_aq4)
p02_aq5,습득한 직업기술의 해당직종(2순위)(p1702_aq5)
p04_4,자원봉사활동 여부(p1704_4)
p04_6,자원봉사활동 연간 횟수(p1704_6)
p04_7,비동거 부모님이 계신지 여부(p1704_7)
p04_8,비동거부모님과 왕래정도 <주>(p1704_8)
p04_9,비동거부모님과 왕래정도 (월)(p1704_9)
p04_10,비동거부모님과 왕래정도 (년)(p1704_10)
p04_11,전화통화 횟수<주>(p1704_11)
p04_12,전화통화 횟수<월>(p1704_12)
p04_13,전화통화 횟수<년>(p1704_13)
p05_3aq1,지금까지 피운 담배의 총양(p1705_3aq1)
p05_3aq2,처음으로 담배를 피운 시기(p1705_3aq2)
p05_3aq3,총 흡연 기간 - 년(p1705_3aq3)
p05_3aq4,총 흡연 기간 - 개월(p1705_3aq4)
p05_3aq6,하루 평균 흡연량(p1705_3aq6)
p05_3aq7,최근 1년동안 담배를 끊고자 하루 이상 금연한 적이 있는지 여부(p1705_3aq7)
p05_3aq8,앞으로 담배를 끊을 계획이 있는지(p1705_3aq8)
p05_3aq10,실내공간에서 하루 타인의 담배연기를 맡은 시간(p1705_3aq10)
p05_3,음주시 마시는 술잔 횟수(p1705_3)
p05_4aq1,한번에 술좌석에서 6잔이상 마시는 경우(p1705_4aq1)
p05_4aq2,(가) 술을 마시기 시작하면 중간에 그만둘 수 없었던 경험(p1705_4aq2)
p05_4aq3,(나) 해야 할 일을 술 때문에 하지 못한 경험(p1705_4aq3)
p05_4aq4,(다) 과음을 한 다음날 해장술을 마셔야 했던 경험(p1705_4aq4)
p05_4aq5,(라) 술을 마신 후에 좌절감을 느끼거나 후회한 경험(p1705_4aq5)
p05_4aq6,(마) 술 마시고 필름이 끊긴 경험(p1705_4aq6)
p05_4aq7,(바) 술로 인해 자신이 다치거나 다른 사람을 다치게 한 경험(p1705_4aq7)
p05_4aq8,"(사) 주변사람들이 귀하의 음주를 걱정하거나, 술을 줄이도록 권한 경험(p1705_4aq8)"
p05_6aq1,지금까지 자살에 대한 생각을 한번이라도 한적이 있는지 여부(p1705_6aq1)
p05_12aq1,삶의 사다리 점수(p1705_12aq1)
p07_3aq1,최종학력(p1707_3aq1)
p07_3aq2,고등학교 유형(p1707_3aq2)
p07_3aq3,고등학교 소재지 metro 코드(p1707_3aq3)
p07_3aq4,고등학교 소재지 시군구 코드(p1707_3aq4)
p07_3aq5,대학 전공 계열(p1707_3aq5)
p07_3aq6,대학 소재지 metro 코드(p1707_3aq6)
p07_3aq7,대학 소재지 시군구 코드(p1707_3aq7)
np06_1,아동기에 가장오래 성장한 곳(np1706_1)
np06_2,아동기에 경제적 생활상태(np1706_2)
np06_3,15세이후 직장 경험(np1706_3)
np06_4,첫직장 - 근무 시작시점(년)(np1706_4)
np06_5,첫직장 - 마지막 근무시점(년)(np1706_5)
np06_6,첫직장 - 고용형태(np1706_6)
np06_7,최근 직장 - 근무 시작시점(년)(np1706_7)
np06_8,최근 직장 - 마지막 근무시점(년)(np1706_8)
np06_9,최근 직장 - 고용형태(np1706_9)
np06_10,일자리A - 근무 시작시점(년)(np1706_10)
np06_11,일자리A - 마지막 근무시점(년)(np1706_11)
np06_12,일자리A - 고용형태(np1706_12)
np06_13,일자리B - 근무 시작시점(년)(np1706_13)
np06_14,일자리B - 마지막 근무시점(년)(np1706_14)
np06_15,일자리B - 고용형태(np1706_15)
np06_16,일자리C - 근무 시작시점(년)(np1706_16)
np06_17,일자리C - 마지막 근무시점(년)(np1706_17)
np06_18,일자리C - 고용형태(np1706_18)
np06_19,일자리D - 근무 시작시점(년)(np1706_19)
np06_20,일자리D - 마지막 근무시점(년)(np1706_20)
np06_21,일자리D - 고용형태(np1706_21)
np06_22,일자리E - 근무 시작시점(년)(np1706_22)
np06_23,일자리E - 마지막 근무시점(년)(np1706_23)
np06_24,일자리E - 고용형태(np1706_24)
np06_25,주요직업기술(1순위)(np1706_25)
np06_26,주요직업기술(2순위)(np1706_26)
np06_27,주요직업기술(3순위)(np1706_27)
np06_28,직업기술 보유 직종(1순위)(np1706_28)
np06_29,직업기술 보유 직종(2순위)(np1706_29)
np06_30,직업기술 보유 직종(3순위)(np1706_30)
np06_31,부모님이 일찍 돌아가심 경험(np1706_31)
np06_32,부모님이 돌아가신 당시 나이(np1706_32)
np06_33,부모님이 이혼 경험(np1706_33)
np06_34,부모님이 이혼하신 당시 나이(np1706_34)
np06_35,생계가 곤란하여 학업중단 경험(np1706_35)
np06_36,생계 곤란으로 학업중단한 당시 나이(np1706_36)
np06_37,경제적이유로 친척집에서 성장 경험(np1706_37)
np06_38,경제적이유로 친척집에서 자란 당시 나이(np1706_38)
np06_39,부모님 교육수준(부)(np1706_39)
np06_40,부모님 교육수준(모)(np1706_40)
np06_41,부모님 직업(부)(np1706_41)
np06_42,부모님 직업(모)(np1706_42)
np06_43,부모의 상속이나 증여 여부(np1706_43)
np06_44,부모의 경제적 도움정도(np1706_44)
p06_3aq1,외국에서 한국으로 이주했는지 여부(p1706_3aq1)
h08_sub1,고용보험(미가입자) (연간)
c01_1,(가) 학교생활이 즐겁다(c1601_1)
c01_2,(나) 배우고 있는 대부분 과목을 좋아한다(c1601_2)
c01_3,(다) 선생님을 존경한다(c1601_3)
c01_4,(라) 수업태도가 좋은편이다(c1601_4)
c01_5,(마) 숙제는 꼬박꼬박 해가는 편이다(c1601_5)
c01_6,(바) 선생님 지시를 잘 따른다(c1601_6)
c01_7,(사) 학교를 그만두고 싶어질 때가 있다(c1601_7)
c01_8,(아) 시험볼 때 다른 친구의 답안지를 본 적이 있다(c1601_8)
c01_9,(자) 허락없이 교실에서 나간적이 있다(c1601_9)
c01_10,(가) 학교성적_전과목 평균(c1601_10)
c01_11,(나) 학교성적_국어(c1601_11)
c02_15aq1,2019년 평일 방과 후 시간에 주로 하는 일-1순위(c1602_15aq1)
c02_15aq2,2019년 평일 방과 후 시간에 주로 하는 일-2순위(c1602_15aq2)
c02_15aq3,2019년 주말 시간에 주로 하는 일-1순위(c1602_15aq3)
c02_15aq4,2019년 주말 시간에 주로 하는 일-2순위(c1602_15aq4)
h13_4aq2,(가) 노인돌봄종합서비스 경험여부(h1513_4aq2)
da_1,공통1-장애가 발생한 주된 원인(da15_1)
da_2,공통1-처음으로 장애를 갖게된 연령(da15_2)
da_3,공통1-처음으로 장애를 갖게된 당시의 가구 소득수준(da15_3)
da_4,공통1-장애의 현재 상태(da15_4)
da_5,공통1-주로 이용하는 의료서비스(da15_5)
da_6,공통1-장애와 관련하여 충분한 치료를 받고 있는지 여부(da15_6)
da_7,공통1-충분한 치료를 받지 않는 이유(da15_7)
da_15aq1,공통1-차별받는다고 느끼는 정도(da15_15aq1)
da_15aq2,공통1-한국에서의 장애인 차별 정도(da15_15aq2)
da_8,공통1-유치원(보육시설)에서의 차별경험여부(da15_8)
da_9_1,공통1-유치원(보육시설)의 차별에 대한 대처방법_무시한다(da15_9_1)
da_9_2,공통1-유치원(보육시설)의 차별에 대한 대처방법_참는다(da15_9_2)
da_9_3,공통1-유치원(보육시설)의 차별에 대한 대처방법_항의한다(da15_9_3)
da_9_4,공통1-유치원(보육시설)의 차별에 대한 대처방법_고발한다(da15_9_4)
da_9_5,공통1-유치원(보육시설)의 차별에 대한 대처방법_기타(da15_9_5)
da_10,공통1-초등학교에서의 차별경험여부(da15_10)
da_11_1,공통1-초등학교에서의 차별에 대한 대처방법_무시한다(da15_11_1)
da_11_2,공통1-초등학교에서의 차별에 대한 대처방법_참는다(da15_11_2)
da_11_3,공통1-초등학교에서의 차별에 대한 대처방법_항의한다(da15_11_3)
da_11_4,공통1-초등학교에서의 차별에 대한 대처방법_고발한다(da15_11_4)
da_11_5,공통1-초등학교에서의 차별에 대한 대처방법_기타(da15_11_5)
da_12,공통1-중학교에서의 차별경험여부(da15_12)
da_13_1,공통1-중학교에서의 차별에 대한 대처방법_무시한다(da15_13_1)
da_13_2,공통1-중학교에서의 차별에 대한 대처방법_참는다(da15_13_2)
da_13_3,공통1-중학교에서의 차별에 대한 대처방법_항의한다(da15_13_3)
da_13_4,공통1-중학교에서의 차별에 대한 대처방법_고발한다(da15_13_4)
da_13_5,공통1-중학교에서의 차별에 대한 대처방법_기타(da15_13_5)
da_14,공통1-고등학교에서의 차별경험여부(da15_14)
da_15_1,공통1-고등학교에서의 차별에 대한 대처방법_무시한다(da15_15_1)
da_15_2,공통1-고등학교에서의 차별에 대한 대처방법_참는다(da15_15_2)
da_15_3,공통1-고등학교에서의 차별에 대한 대처방법_항의한다(da15_15_3)
da_15_4,공통1-고등학교에서의 차별에 대한 대처방법_고발한다(da15_15_4)
da_15_5,공통1-고등학교에서의 차별에 대한 대처방법_기타(da15_15_5)
da_16,공통1-대학교에서의 차별경험여부(da15_16)
da_17_1,공통1-대학교에서의 차별에 대한 대처방법_무시한다(da15_17_1)
da_17_2,공통1-대학교에서의 차별에 대한 대처방법_참는다(da15_17_2)
da_17_3,공통1-대학교에서의 차별에 대한 대처방법_항의한다(da15_17_3)
da_17_4,공통1-대학교에서의 차별에 대한 대처방법_고발한다(da15_17_4)
da_17_5,공통1-대학교에서의 차별에 대한 대처방법_기타(da15_17_5)
da_18,공통1-교사로부터의 차별경험여부(da15_18)
da_19_1,공통1-교사로부터의 차별에 대한 대처방법_무시한다(da15_19_1)
da_19_2,공통1-교사로부터의 차별에 대한 대처방법_참는다(da15_19_2)
da_19_3,공통1-교사로부터의 차별에 대한 대처방법_항의한다(da15_19_3)
da_19_4,공통1-교사로부터의 차별에 대한 대처방법_고발한다(da15_19_4)
da_19_5,공통1-교사로부터의 차별에 대한 대처방법_기타(da15_19_5)
da_20,공통1-또래학생으로부터의 차별경험여부(da15_20)
da_21_1,공통1-또래학생으로부터의 차별에 대한 대처방법_무시한다(da15_21_1)
da_21_2,공통1-또래학생으로부터의 차별에 대한 대처방법_참는다(da15_21_2)
da_21_3,공통1-또래학생으로부터의 차별에 대한 대처방법_항의한다(da15_21_3)
da_21_4,공통1-또래학생으로부터의 차별에 대한 대처방법_고발한다(da15_21_4)
da_21_5,공통1-또래학생으로부터의 차별에 대한 대처방법_기타(da15_21_5)
da_22,공통1-학부모로부터의 차별경험여부(da15_22)
da_23_1,공통1-학부모로부터의 차별에 대한 대처방법_무시한다(da15_23_1)
da_23_2,공통1-학부모로부터의 차별에 대한 대처방법_참는다(da15_23_2)
da_23_3,공통1-학부모로부터의 차별에 대한 대처방법_항의한다(da15_23_3)
da_23_4,공통1-학부모로부터의 차별에 대한 대처방법_고발한다(da15_23_4)
da_23_5,공통1-학부모로부터의 차별에 대한 대처방법_기타(da15_23_5)
da_24,공통1-결혼전 차별경험여부(da15_24)
da_25_1,공통1-결혼전 차별경험에 대한 대처방법_무시한다(da15_25_1)
da_25_2,공통1-결혼전 차별경험에 대한 대처방법_참는다(da15_25_2)
da_25_3,공통1-결혼전 차별경험에 대한 대처방법_항의한다(da15_25_3)
da_25_4,공통1-결혼전 차별경험에 대한 대처방법_고발한다(da15_25_4)
da_25_5,공통1-결혼전 차별경험에 대한 대처방법_기타(da15_25_5)
da_26,공통1-결혼 생활 중 차별경험여부(da15_26)
da_27_1,공통1-결혼 생활 중 차별경험에 대한 대처방법_무시한다(da15_27_1)
da_27_2,공통1-결혼 생활 중 차별경험에 대한 대처방법_참는다(da15_27_2)
da_27_3,공통1-결혼 생활 중 차별경험에 대한 대처방법_항의한다(da15_27_3)
da_27_4,공통1-결혼 생활 중 차별경험에 대한 대처방법_고발한다(da15_27_4)
da_27_5,공통1-결혼 생활 중 차별경험에 대한 대처방법_기타(da15_27_5)
da_28,공통1-취업시 차별경험여부(da15_28)
da_29_1,공통1-취업시 차별경험에 대한 대처방법_무시한다(da15_29_1)
da_29_2,공통1-취업시 차별경험에 대한 대처방법_참는다(da15_29_2)
da_29_3,공통1-취업시 차별경험에 대한 대처방법_항의한다(da15_29_3)
da_29_4,공통1-취업시 차별경험에 대한 대처방법_고발한다(da15_29_4)
da_29_5,공통1-취업시 차별경험에 대한 대처방법_기타(da15_29_5)
da_30,공통1-소득(임금)과 관련된 차별경험여부(da15_30)
da_31_1,공통1-소득(임금)과 관련된 차별에 대한 대처방법_무시한다(da15_31_1)
da_31_2,공통1-소득(임금)과 관련된 차별에 대한 대처방법_참는다(da15_31_2)
da_31_3,공통1-소득(임금)과 관련된 차별에 대한 대처방법_항의한다(da15_31_3)
da_31_4,공통1-소득(임금)과 관련된 차별에 대한 대처방법_고발한다(da15_31_4)
da_31_5,공통1-소득(임금)과 관련된 차별에 대한 대처방법_기타(da15_31_5)
da_32,공통1-동료와의 관계에서 차별경험여부(da15_32)
da_33_1,공통1-동료와의 관계에서 차별에 대한 대처방법_무시한다(da15_33_1)
da_33_2,공통1-동료와의 관계에서 차별에 대한 대처방법_참는다(da15_33_2)
da_33_3,공통1-동료와의 관계에서 차별에 대한 대처방법_항의한다(da15_33_3)
da_33_4,공통1-동료와의 관계에서 차별에 대한 대처방법_고발한다(da15_33_4)
da_33_5,공통1-동료와의 관계에서 차별에 대한 대처방법_기타(da15_33_5)
da_34,공통1-승진과 관련된 차별경험여부(da15_34)
da_35_1,공통1-승진과 관련된 차별에 대한 대처방법_무시한다(da15_35_1)
da_35_2,공통1-승진과 관련된 차별에 대한 대처방법_참는다(da15_35_2)
da_35_3,공통1-승진과 관련된 차별에 대한 대처방법_항의한다(da15_35_3)
da_35_4,공통1-승진과 관련된 차별에 대한 대처방법_고발한다(da15_35_4)
da_35_5,공통1-승진과 관련된 차별에 대한 대처방법_기타(da15_35_5)
da_36,공통1-운전면허 제도상 차별경험여부(da15_36)
da_37_1,공통1-운전면허 제도상 차별에 대한 대처방법_무시한다(da15_37_1)
da_37_2,공통1-운전면허 제도상 차별에 대한 대처방법_참는다(da15_37_2)
da_37_3,공통1-운전면허 제도상 차별에 대한 대처방법_항의한다(da15_37_3)
da_37_4,공통1-운전면허 제도상 차별에 대한 대처방법_고발한다(da15_37_4)
da_37_5,공통1-운전면허 제도상 차별에 대한 대처방법_기타(da15_37_5)
da_38,공통1-보험제도상 차별경험여부(da15_38)
da_39_1,공통1-보험제도상 차별에 대한 대처방법_무시한다(da15_39_1)
da_39_2,공통1-보험제도상 차별에 대한 대처방법_참는다(da15_39_2)
da_39_3,공통1-보험제도상 차별에 대한 대처방법_항의한다(da15_39_3)
da_39_4,공통1-보험제도상 차별에 대한 대처방법_고발한다(da15_39_4)
da_39_5,공통1-보험제도상 차별에 대한 대처방법_기타(da15_39_5)
da_40,공통1-의료기관 이용시 차별경험여부(da15_40)
da_41_1,공통1-의료기관 이용시 차별에 대한 대처방법_무시한다(da15_41_1)
da_41_2,공통1-의료기관 이용시 차별에 대한 대처방법_참는다(da15_41_2)
da_41_3,공통1-의료기관 이용시 차별에 대한 대처방법_항의한다(da15_41_3)
da_41_4,공통1-의료기관 이용시 차별에 대한 대처방법_고발한다(da15_41_4)
da_41_5,공통1-의료기관 이용시 차별에 대한 대처방법_기타(da15_41_5)
da_42,공통1-정보통신 이용시 차별경험여부(da15_42)
da_43_1,공통1-정보통신 이용시 차별에 대한 대처방법_무시한다(da15_43_1)
da_43_2,공통1-정보통신 이용시 차별에 대한 대처방법_참는다(da15_43_2)
da_43_3,공통1-정보통신 이용시 차별에 대한 대처방법_항의한다(da15_43_3)
da_43_4,공통1-정보통신 이용시 차별에 대한 대처방법_고발한다(da15_43_4)
da_43_5,공통1-정보통신 이용시 차별에 대한 대처방법_기타(da15_43_5)
da_44,공통1-지역사회생활에서 차별경험여부(da15_44)
da_45_1,공통1-지역사회생활에서 차별에 대한 대처방법_무시한다(da15_45_1)
da_45_2,공통1-지역사회생활에서 차별에 대한 대처방법_참는다(da15_45_2)
da_45_3,공통1-지역사회생활에서 차별에 대한 대처방법_항의한다(da15_45_3)
da_45_4,공통1-지역사회생활에서 차별에 대한 대처방법_고발한다(da15_45_4)
da_45_5,공통1-지역사회생활에서 차별에 대한 대처방법_기타(da15_45_5)
da_46,공통1-지난 한달동안 외출정도(da15_46)
da_47,공통1-외출을 거의 하지 않는 주된 이유(da15_47)
da_48,공통2-일상생활을 하는 데 남의 도움을 받는 정도(da15_48)
da_49,공통2-주로 도와주는 사람(1순위)(da15_49)
da_50,공통2-주로 도와주는 사람(1순위) 가구원 번호(da15_50)
da_51,공통2-주로 도와주는 사람(2순위)(da15_51)
da_52,공통2-주로 도와주는 사람(2순위) 가구원 번호(da15_52)
da_53,공통2-주로 도와주는 사람(3순위)(da15_53)
da_54,공통2-주로 도와주는 사람(3순위) 가구원 번호(da15_54)
da_55,공통2-일상생활에서 주변 사람들로부터 충분한 도움을 받는 정도(da15_55)
da_56,공통2-이용여부(da15_56)
da_57,공통2-장래 이용의향(da15_57)
da_59,공통2-(가)옷 벗고 입기(da15_59)
da_60,공통2-(나)세수하기(da15_60)
da_61,공통2-(다)양치질하기(da15_61)
da_62,공통2-(라)목욕하기(da15_62)
da_63,공통2-(마)식사하기(da15_63)
da_64,공통2-(바)체위변경하기(da15_64)
da_65,공통2-(사)일어나 앉기(da15_65)
da_66,공통2-(아)옮겨 타기(앉기)(da15_66)
da_67,공통2-(자)방밖으로 나오기(da15_67)
da_68,공통2-(차)화장실 사용하기(da15_68)
da_69,공통2-(카)대변 조절하기(da15_69)
da_70,공통2-(타)소변 조절하기(da15_70)
da_71,공통2-(가)몸단장하기(da15_71)
da_72,공통2-(나)집안일 하기(da15_72)
da_73,공통2-(다)식사준비하기(da15_73)
da_74,공통2-(라)빨래하기(da15_74)
da_75,공통2-(마)근거리 외출하기(da15_75)
da_76,공통2-(바)교통수단 이용하기(da15_76)
da_77,공통2-(사)상점이나 가게에서 사고 싶은 물건사기(da15_77)
da_78,공통2-(아)금전관리하기(da15_78)
da_79,공통2-(자)전화사용하기(da15_79)
da_80,공통2-(차)약 챙겨먹기(da15_80)
da_6aq1,공통2-(가) 나의 가족은 진정으로 나를 도우려고 애쓴다(da15_6aq1)
da_6aq2,공통2-(나) 나는 나의 가족으로부터 내가 필요로 하는 정서적 도움과 지지를 받는다(d
da_6aq3,공통2-(다) 나는 내 문제에 대하여 나의 가족과 이야기 할 수 있다(da15_6aq3)
da_6aq4,공통2-(라) 나의 가족은 내가 어떤 결정을 하도록 기꺼이 도와줄 것이다(da15_6aq4)
da_6aq5,"공통2-(마) 내가 위급할 때 도움을 줄 수 있는 특별한 사람(친구, 주변사람)이 내 주"
da_6aq6,"공통2-(바) 나에게는 나를 편안하게 해 주는 특별한 사람(친구, 주변사람)이 있다(da1"
da_6aq7,공통2-(사) 나의 친구나 주변사람들은 나를 진정 도우려고 한다(da15_6aq7)
da_6aq8,공통2-(아) 나는 일이 잘 안될 때 친구나 주변사람에게 의지할 수 있다(da15_6aq8)
da_6aq9,공통2-(자) 나는 기쁨과 슬픔을 나눌 친구나 주변사람이 있다(da15_6aq9)
da_6aq10,공통2-(차) 나는 내 문제에 대하여 친구나 주변사람에게 이야기 할 수 있다(da15_6aq1
da_81,"공통2-생계를 달리하는 부모,자녀,형제자매(가)의 도움여부 (da15_81)"
da_82,공통2-(가)의 물질적 지원 횟수(da15_82)
da_83,공통2-(가)의 보살핌 횟수(da15_83)
da_84,공통2-친척(3촌 이상)(나)의 도움여부(da15_84)
da_85,공통2-(나)의 물질적 지원 횟수(da15_85)
da_86,공통2-(나)의 보살핌 횟수(da15_86)
da_87,공통2-친구 및 동료(다)의 도움여부(da15_87)
da_88,공통2-(다)의 물질적 지원 횟수(da15_88)
da_89,공통2-(다)의 보살핌 횟수(da15_89)
da_90,공통2-이웃(라)의 도움여부(da15_90)
da_91,공통2-(라)의 물질적 지원 횟수(da15_91)
da_92,공통2-(라)의 보살핌 횟수(da15_92)
da_93,공통2-종교단체(마)의 도움여부(da15_93)
da_94,공통2-(마)의 물질적 지원 횟수(da15_94)
da_95,공통2-(마)의 보살핌 횟수(da15_95)
da_96,공통2-사회단체나 봉사단체(바)의 도움여부(da15_96)
da_97,공통2-(바)의 물질적 지원 횟수(da15_97)
da_98,공통2-(바)의 보살핌 횟수(da15_98)
da_99,공통2-복지관의 사회복지사나 직원(사)의 도움여부(da15_99)
da_100,공통2-(사)의 물질적 지원 횟수(da15_100)
da_101,공통2-(사)의 보살핌 횟수(da15_101)
da_102,공통2-읍·면·동사무소의 사회복지공무원(아)의 도움여부(da15_102)
da_103,공통2-(아)의 물질적 지원 횟수(da15_103)
da_104,공통2-(아)의 보살핌 횟수(da15_104)
da_105,공통2-학교(담임교사 등)(자)의 도움여부(da15_105)
da_106,공통2-(자)의 물질적 지원 횟수(da15_106)
da_107,공통2-(자)의 보살핌 횟수(da15_107)
da_6aq11,공통2-활동보조인(차)의 도움여부(da15_6aq11)
da_6aq12,공통2-(차)의 물질적 지원 횟수(da15_6aq12)
da_6aq13,공통2-(차)의 보살핌 횟수(da15_6aq13)
da_9aq1,공통2-요양보호사(카)의 도움여부(da15_9aq1)
da_9aq2,공통2-(카)의 물질적 지원 횟수(da15_9aq2)
da_9aq3,공통2-(카)의 보살핌 횟수(da15_9aq3)
da_9aq4,공통2-장애아동 돌보미(타)의 도움여부(da15_9aq4)
da_9aq5,공통2-(타)의 물질적 지원 횟수(da15_9aq5)
da_9aq6,공통2-(타)의 보살핌 횟수(da15_9aq6)
da_108,공통2-기타(파)의 도움여부(da15_108)
da_109,공통2-(파)의 물질적 지원 횟수(da15_109)
da_110,공통2-(파)의 보살핌 횟수(da15_110)
da_111,개별1(미취학)-(가)외롭다고 불평한다(da15_111)
da_112,개별1(미취학)-(나)잘 운다(da15_112)
da_113,개별1(미취학)-(다)나쁜 생각이나 나쁜 행동을 할까 두려워한다(da15_113)
da_114,개별1(미취학)-(라)스스로 완벽해야한다고 생각한다(da15_114)
da_115,개별1(미취학)-(마)아무도 자기를 사랑하지 않는다고 불평하거나 그렇게 생각하는 듯
da_116,개별1(미취학)-(바)남들이 자기를 해치려한다고 생각한다(da15_116)
da_117,개별1(미취학)-(사)자기가 가치가 없거나 남보다 못하다고 생각한다(da15_117)
da_118,개별1(미취학)-(아)신경이 날카롭고 신경질적이거나 긴장되어 있다(da15_118)
da_119,개별1(미취학)-(자)지나치게 겁이 많거나 불안해한다(da15_119)
da_120,개별1(미취학)-(차)지나치게 죄책감을 느낀다(da15_120)
da_121,개별1(미취학)-(카)자의식이 지나치고 쉽게 무안해 한다(da15_121)
da_122,개별1(미취학)-(타)의심이 많다(da15_122)
da_123,개별1(미취학)-(파)불행하다고 생각하거나 슬퍼하고 우울해 한다(da15_123)
da_124,개별1(미취학)-(하)걱정이 많다(da15_124)
da_153,개별1(미취학)-이용여부(da15_153)
da_154,개별1(미취학)-장래이용의향(da15_154)
da_156,개별1(미취학)-이용여부(da15_156)
da_157,개별1(미취학)-보육시설 형태(da15_157)
da_158,개별1(미취학)-만족도(da15_158)
da_159,개별1(미취학)-적응여부(da15_159)
