Feature,Importance,Contribution Range,Contribution Change (Linear Regression),Contbituion Change (Quantile Regression),Feature,Importance,Contribution Range,Contribution Change (Linear Regression),Contbituion Change (Quantile Regression)
학습 지향 평균,0.25966990641336596,1.6450801117468,5.655905414156008,7.226810261315672,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,0.20094353050295263,0.8829697206379089,-0.8419775099799413,-0.5600674071783289
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,-0.11362162645141982,1.546119790257619,4.7431760945935135,-0.1448777133341546,DQ3. 몇 명과 함께 지내고 있습니까?__명,0.16179053479334735,0.8355148074830023,-1.4872576306979148,-1.2252072629099364
문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.26344040654695106,1.3202227773186879,1.9850093943099258,1.4445361688852691,취약계층,0.1068077243510447,0.5082960168142151,-0.0948944710541707,0.05315565449580132
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,-0.1453172223498761,1.3187492911426475,2.197319867609556,0.7007007914150105,문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,-0.06157903818964603,0.4570175973723267,-0.6881104078801432,0.3813027417098342
DQ6. 귀하께서는 건강에 자신 있습니까?_1,-0.26886030746912704,1.2034484256030777,1.2078178973166187,1.2078178973166187,문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,-0.034760904885820926,0.2914558048933749,-0.40263104936389804,-0.17073230204911527
DQ6. 귀하께서는 건강에 자신 있습니까?_2,-0.1656515993067418,1.1080513694466065,1.1080513694466005,1.1080513694466005,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,0.017102814898893308,0.2551509791138431,-1.1348066417486313,-0.1460925756250248
문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,-0.030829815269715295,0.9999687619190251,1.0316791171481163,1.0316791171481163,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,0.02898368240615741,0.22131661174017841,-0.28188296524121054,-0.4441124898467621
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,-0.21338179568170507,0.9439497639921381,1.6579689267641218,0.0,문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.038623551379320734,0.2005027420694179,-1.3940021820716975,-0.1882554512576317
직업관련 목표지향 평균,-0.0048620574208294055,0.9142922740756623,3.149517353865439,1.9417653167428484,문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),-0.02428872875837452,0.194526571337649,-0.20595683567233738,0.0
지역규모별,-0.22018980866185814,0.8560648200911991,0.9181867455361009,-0.027407150796742028,문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,-0.03084799973636133,0.15612945232874118,-0.043681138362870485,0.2814612869093157
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,-0.2565798788537689,0.7665096824243423,1.1316101150995388,0.0,문A2-3) 기관 유형__(3)직업능력향상교육_1,0.019103082014047507,0.130803630808712,-0.1440287451164706,-0.03617843320692196
문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.044293318750058694,0.5643303416357444,0.9617883766182427,0.03232778717303407,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,0.006723120780959768,0.07048069036692459,-0.0210366644205973,0.018381572429556375
사회참여,0.0912032761035605,0.5492031439167145,0.5702276551276823,0.5702276551276823,DQ9-1. 귀하의 현재 종사상 지위는 어떻게 되십니까?,-0.0020032171514348506,0.056165543969378035,-0.11452546067419689,-0.05924469816784886
문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,0.05364354861593436,0.508831956079862,0.6140488021791571,2.088624283972954,근로시간형태,-0.02479130265379035,0.048916780330161926,-0.039789487617070705,0.06672532078078275
문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,-0.0626630613655373,0.507573931623027,0.6012121269871523,0.6012121269871523,DQ8. 귀하께서는 현재 수입을 목적으로 일하고 계십니까?,0.005623171453784289,0.03121935338774263,-0.0008952164542376735,-0.0008952164542376735
월 가구소득,-0.07441242114656817,0.5046090847868491,0.8969059071136241,0.0,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_1.0,0.000309939470436425,0.015190913422771329,-0.014467443017789638,-0.014467443017789638
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,-0.09743062897796932,0.44156964171744706,0.7445735623577094,0.0,DQ9-2. 귀하의 현재 근로시간형태는 어떻게 되십니까?,0.00033937700183907953,0.008484425045976919,-0.002150258727731585,0.0
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (1)학위취득을위한교육,-0.018663316651076005,0.43391860702283636,0.39800119001274253,0.39800119001274253,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_1.0,0.0,,-0.002077735034156002,-0.002077735034156002
DQ5. 귀하께서는 취학 전의 손자·손녀가 있습니까? (동거여부 무관),-0.02236404188719232,0.41672856613710224,0.46178286407719726,0.46178286407719726,,,,,
문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,0.02038017880154571,0.4065245509151105,0.7296039429581834,-0.06362103889980131,,,,,
문A3-5) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__일하는데 필요한 기능 습득 등,0.055637382921083445,0.4042463329118607,0.5070453109973961,0.04570324656172449,,,,,
DQ6. 귀하께서는 건강에 자신 있습니까?_3,-0.0023614137772795625,0.39598562117216496,0.24510905968748714,0.24510905968748714,,,,,
문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,-0.0428908171542518,0.3835154524745119,0.6966407341896292,0.0,,,,,
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,-0.07867393741043965,0.3817023902723571,0.7366448614052946,0.0,,,,,
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_3.0,-0.03544388334879669,0.3567005037227228,0.3928936533552081,0.3928936533552081,,,,,
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,-0.09620962821198001,0.3481075354530889,0.6835578353303217,-0.05060928211223813,,,,,
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_4.0,-0.05510501471042574,0.3472294530142038,0.4854945732275888,0.4854945732275888,,,,,
DQ7. 귀하의 주된 소득원천은 무엇입니까?_5,0.0,0.28752305503034953,0.14520389417938848,0.14520389417938848,,,,,
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,-0.039652776487918144,0.26186398557018065,1.6617266003216165,0.7915213180845555,,,,,
문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,0.013155536401930745,0.22872191653618829,0.27475528513837166,0.1009340269135567,,,,,
Year,-0.04443532980552528,0.22609849929492093,0.3379588299424456,0.0,,,,,
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_8.0,-0.002048656688330116,0.21432102091837166,0.33050152032065316,0.33050152032065316,,,,,
DQ6. 귀하께서는 건강에 자신 있습니까?_4,-0.010803155039310373,0.20926628009701254,0.19487983589995786,0.19487983589995786,,,,,
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,-0.012689540739645714,0.20828028795116071,0.4481792300272174,-0.22638195230204422,,,,,
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_11.0,0.0,0.20565039763832896,1.0227650588069734,1.0227650588069734,,,,,
문A3-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,-0.000151555096413865,0.16734171385314706,0.09120160593378016,0.2831469787524903,,,,,
연령별(1),0.005531004254152455,0.1672891448553267,0.19208467702952273,-0.006723121529486584,,,,,
만 연령,0.022403414707349256,0.16157123640891197,0.1791768858950284,0.0762929923152101,,,,,
DQ9. 귀하의 현재 고용형태는 어떻게 되십니까?_2.0,-0.01700201839497586,0.15139916673083967,0.15113962276273452,0.15113962276273452,,,,,
무형식학습 (암묵적 학습) 참여,0.0261532886776264,0.14683572495851463,0.08827176934381585,0.08827176934381585,,,,,
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (4)인문교양교육,0.0,0.12859237818275612,0.09473591593555475,0.09473591593555475,,,,,
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,-0.008015946228073716,0.12500997699004163,0.13956336181720494,0.1374261762720193,,,,,
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_0.0,0.0,0.12471071800531719,0.012406385634620534,0.012406385634620534,,,,,
DQ7. 귀하의 주된 소득원천은 무엇입니까?_1,0.032085633302346706,0.12322405664706154,0.11545430816914139,0.11545430816914139,,,,,
DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),-0.009225127294045014,0.11987790056567296,3.0385371007327464,0.05842549676693831,,,,,
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_7.0,0.0,0.11768042663098172,0.3245208462349948,0.3245208462349948,,,,,
문A2-5) 참여목적__(3)직업능력향상교육_1,-0.01071224600658367,0.11606374905860731,0.040075881820052825,-0.05343431671255263,,,,,
DQ2. 귀하께서는 자녀가 있으십니까? 있다면^ 귀하의 막내자녀는 현재 어떤 상태입니까?,0.012000722663298402,0.10295933057922974,0.10158777254315274,0.0,,,,,
문A2-10) 프로그램만족도__(3)직업능력향상교육_1,-0.011350393996739375,0.09717929212210154,0.09206312593411084,0.7873065047821121,,,,,
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,-0.0037744074582283897,0.09711411222326138,0.7772279574795616,0.538945242514069,,,,,
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,-0.009965331477918518,0.0906956264224139,0.4435432530751662,-0.08024549263260178,,,,,
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_2.0,-0.0027018126629107554,0.09006042209702492,0.09006042209701583,0.09006042209701583,,,,,
무형식학습(온라인) 참여,0.010310654402337385,0.0894666458362586,0.07534339101704116,0.07534339101704116,,,,,
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_5.0,-0.006200838723404209,0.08933707716436251,0.08933707716436838,0.08933707716436838,,,,,
형식교육 참여자,0.0,0.08120508775893379,0.027553461774293707,0.027553461774293707,,,,,
문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,-0.017206684861485317,0.07474860952161502,0.0041685663112106565,-0.07736734509487868,,,,,
DQ7. 귀하의 주된 소득원천은 무엇입니까?_3,-0.011086069711029841,0.07251638617430631,0.07173750278590492,0.07173750278590492,,,,,
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (3)직업능력향상교육,-0.0011215906737001308,0.06763873855180332,0.048584127542848236,0.048584127542848236,,,,,
성별,-0.020518731953142393,0.060349211626893606,0.06034921162689061,0.06034921162689061,,,,,
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_6.0,-0.011199947450259914,0.059314447174031254,0.11802950882504058,0.11802950882504058,,,,,
경활상태,0.014671056491602224,0.05433724626519848,0.058083134160651514,0.058083134160651514,,,,,
DQ4. 귀하께서는 부양할 가족이 있습니까? (동거여부 무관),0.017024214184290263,0.0480008721682353,0.024796547880414056,0.024796547880414056,,,,,
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (2)성인기초및문해교육,0.0,0.03305729745846757,0.0007956946254574787,0.0007956946254574787,,,,,
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_4.0,0.0,,0.0018271914385611127,0.0018271914385611127,,,,,
