감사합니다,영화네요,잘봤습니다,홉킨스의,오늘을,봐도,감동을,보았습니다,좋아요,살아가세요,생각하게,홉킨스,좋은,보면,좋았습니다,나는,내가,아름다운,부시게,연기,다시,눈이,펑펑,감동이,사랑을,사랑,영화를,영화입니다,딸에,그럼에도,영화가,기억을,하게,연기가,좋았어요,진짜,연기는,놀란,명작,감동,소중함을,나도,사랑하는,생각이,메멘토,영화는,무어의,맥아담스
5,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2,1,1,1,0,0,1,1,2,0,1,0,2,3,3,1,0,0,0,0,3,0,0,1,0,1,3,0,0,0,0,2,0,0,1,0,1,0,0,2,0,1,0,1,0,0,0,0
14,0,26,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0,4,0,0,52,1,0,0,0,0,0,5,0,0,0,1,1,0,47,0,1,51,0,1,0,0,1,0,0,1,2,0,0
1,0,0,0,1,0,0,0,0,161,0,0,0,0,0,2,0,0,3,0,1,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0,2,1,0,0,30,2,0,3,0,0,0,25,1,0,9,5,3,0,5,4,1,4,1,1,3,2,3,0,1,3,0,1,2,1,9,1,5,21,2,0,2,2,5,6,3,0,0
1,6,0,0,1,0,2,0,0,0,1,0,7,2,0,2,3,6,0,0,2,2,2,1,1,1,3,6,0,1,6,1,0,1,1,1,0,0,0,1,0,0,0,0,0,3,1,1
3,0,0,0,0,1,0,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,0,0,1,0,1,61,0,0,0,0,3,0,0,1,1,0,1,4,0,0,1,0,2,0,0,1,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,1,2,1,0,0,5,0,10,0,0,5,5,3,0,3,2,0,1,0,3,1,4,12,1,0,7,1,2,3,3,1,0,2,1,1,1,1,2,2,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,26,1,0,0,0,0,0,2,0,0,0,1,1,0,14,2,3,21,0,0,1,0,0,0,1,0,1,0,0
31,34,5,1,0,4,0,6,2,0,4,0,52,4,4,11,8,4,0,32,12,6,2,1,5,3,45,45,0,5,13,7,0,11,3,6,4,2,6,4,0,7,0,7,2,31,2,0
0,4,0,0,1,2,0,0,3,0,2,0,50,10,2,8,6,9,0,1,7,1,3,5,2,1,6,5,1,3,4,4,1,0,0,8,1,0,0,2,0,5,3,10,0,6,1,0
2,3,4,0,91,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,1,3,0,0,0,0,1,1,2,0,1,0,0,4,0,1,0,0,1,1,0,0,0,3,0,1,0,0
0,4,0,1,2,3,0,0,1,0,5,0,9,5,1,81,94,6,0,7,31,7,4,1,19,9,30,4,4,8,22,15,4,5,0,13,2,0,1,3,2,17,6,11,0,14,1,0
1,1,0,1,1,9,0,0,0,0,15,1,15,10,1,90,207,12,0,7,47,5,4,0,25,16,49,0,3,7,24,30,7,6,2,24,6,1,1,1,2,23,48,20,2,12,1,0
1,3,1,0,0,1,4,1,3,0,2,0,4,8,1,10,9,51,0,8,9,6,0,3,18,55,6,11,0,4,12,8,0,2,3,4,5,0,2,2,0,6,5,3,0,14,1,1
2,0,0,0,6,0,0,0,0,1,0,0,4,0,1,1,3,28,0,4,1,14,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
4,1,7,1,1,4,2,2,23,0,2,1,11,8,29,2,7,1,0,19,7,4,5,2,1,2,6,1,0,1,7,3,0,6,42,38,2,0,0,7,0,6,1,2,0,3,0,0
2,13,2,0,0,199,3,0,5,0,89,0,17,23,9,27,33,14,0,2,69,5,3,1,17,15,20,8,2,5,11,8,3,2,25,18,1,12,6,2,3,14,10,12,4,18,1,0
1,0,0,0,11,1,0,0,0,0,0,0,0,1,0,4,6,6,322,3,4,19,2,0,0,0,1,1,0,1,1,2,0,0,1,4,1,0,1,0,0,2,3,0,0,4,0,0
0,6,0,0,0,0,1,0,2,0,0,0,0,5,2,5,4,2,0,8,4,8,6,0,1,3,3,3,0,0,4,3,0,3,0,13,2,0,1,6,0,5,1,1,0,5,1,0
1,8,0,0,0,2,1,0,1,0,3,0,10,3,3,0,1,1,0,1,2,0,2,0,3,1,3,8,0,0,5,0,0,1,4,3,2,0,0,0,1,1,1,2,0,1,0,0
2,3,0,0,0,3,2,1,0,0,3,0,11,5,2,19,10,11,0,0,28,3,0,3,46,17,9,0,0,3,9,10,8,0,1,3,1,0,0,2,0,28,10,11,0,9,0,1
1,0,0,0,0,2,3,0,1,0,2,0,4,6,2,9,7,14,0,4,11,1,0,1,24,48,9,0,0,3,4,5,0,0,0,4,0,0,1,4,0,11,3,5,0,5,0,0
12,0,0,4,0,8,9,5,2,0,8,1,18,38,4,23,42,8,0,8,70,2,7,4,9,8,71,6,1,5,30,15,9,7,4,16,2,7,2,4,2,17,10,31,1,21,0,0
2,2,0,0,0,2,0,1,0,0,0,0,1,2,1,0,0,0,0,4,3,0,1,0,0,1,3,5,0,0,2,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,3,5,0,2,0,2,0,6,3,3,1,0,1,0,1,0,0,0,0,2,1,28,0,1,1,0,3,4,1,2,0,0,0,0,0,0,3,0,3,0,0
0,0,0,0,3,1,1,0,0,1,0,0,3,1,89,9,7,7,0,0,7,3,1,1,6,5,4,0,1,2,9,2,1,2,0,1,0,0,0,0,0,2,7,3,0,4,1,1
3,1,0,1,0,0,3,0,4,0,5,0,15,6,3,11,21,5,0,4,19,2,2,3,4,4,29,1,2,3,17,1,1,2,2,15,1,3,2,2,0,9,5,10,0,23,0,0
0,1,0,1,2,3,2,1,0,0,3,0,9,5,0,28,16,8,0,4,25,1,0,0,7,13,10,4,0,12,7,52,1,2,0,8,1,6,2,2,2,8,18,8,2,14,0,0
0,11,1,0,0,0,0,1,2,0,1,0,5,1,0,5,7,2,0,0,1,0,1,0,2,1,3,6,0,1,0,2,2,0,2,5,0,0,0,0,1,5,2,6,0,5,0,0
0,1,2,1,0,2,4,1,43,0,4,0,18,6,89,3,9,2,0,9,11,7,1,3,2,2,14,6,1,2,6,2,1,16,120,17,8,1,0,3,2,0,1,5,0,2,1,0
3,0,1,0,0,0,0,1,1,0,2,1,2,0,2,1,0,0,0,2,3,0,1,1,1,1,2,2,0,0,2,1,0,2,64,3,2,1,1,1,0,0,1,1,0,3,0,0
2,3,0,0,0,7,2,0,3,0,5,1,11,10,4,15,23,12,0,19,14,6,37,3,5,10,17,6,0,1,14,5,1,11,3,55,1,5,3,9,0,7,8,11,1,18,0,0
1,0,0,2,0,2,1,0,5,0,0,0,0,1,8,2,5,0,0,1,5,2,2,0,0,1,1,1,1,0,7,2,1,9,8,15,4,0,0,2,0,1,2,5,0,5,0,1
0,3,0,0,0,5,0,0,1,0,0,0,1,5,0,0,5,1,0,2,9,0,0,0,0,0,16,4,0,0,7,7,2,0,2,4,0,23,9,0,0,1,1,1,10,30,0,0
1,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,2,1,0,3,9,0,0,0,0,2,1,0,0,0,1,2,0,1,1,2,0,0,7,1,0,0,0,0,0,2,0,0
1,0,2,0,0,2,1,0,0,0,0,0,2,3,2,1,0,2,0,1,2,0,3,1,2,2,1,3,0,1,2,0,1,1,1,3,0,0,0,11,0,2,0,0,0,3,0,0
0,7,1,0,0,0,1,0,1,0,4,0,7,1,0,0,2,1,0,0,20,0,1,0,0,1,0,4,0,0,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0
0,1,0,0,1,0,1,0,0,0,7,0,10,2,1,6,31,6,0,3,9,5,6,0,70,16,4,0,0,0,6,14,1,1,0,8,0,2,1,0,0,16,6,14,2,4,0,0
0,1,0,0,0,0,0,1,1,0,3,0,6,9,0,15,17,10,0,0,14,3,0,1,9,8,8,1,0,3,7,15,0,1,0,7,0,0,0,2,0,8,22,4,0,5,0,0
3,15,1,0,1,0,0,0,0,0,1,0,11,1,3,28,14,4,1,7,10,4,5,0,6,4,9,4,0,1,4,1,1,8,6,5,1,0,0,1,1,7,3,9,0,6,0,0
0,0,5,0,0,1,0,0,4,0,0,0,0,0,3,0,1,0,0,1,6,1,0,0,0,0,1,1,0,0,1,0,0,0,6,0,0,3,0,0,0,1,0,1,53,2,0,0
0,2,1,2,0,8,2,0,0,0,3,1,23,3,4,16,18,6,0,2,24,1,2,2,10,5,25,3,3,8,31,10,2,5,5,17,8,5,2,6,0,4,7,6,2,50,0,0
0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,1,4,0,59,3,0,0,1,0,1,1,0,0,0,2,4,0,73,0,0,38,0,0,1,0,2,0,2,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,1,0,0,1,2,1,0,0,0,0,1,0,0,0,5,2,1,0,0,0,0,0,1,0,2,1,0
